timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1571522614121,506,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,1,1,http://localhost:8080/product,,506,1,0,LAPTOP-V4PSCO6F,0,1
1571522615121,504,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,2,2,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,1
1571522615717,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,3,3,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,0
1571522616122,508,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,3,3,http://localhost:8080/product,,508,1,0,LAPTOP-V4PSCO6F,0,1
1571522616635,506,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,4,4,http://localhost:8080/product,,505,1,0,LAPTOP-V4PSCO6F,0,0
1571522617120,510,Product,200,,Scenario 1 - Sem  Usar Cache 1-4,text,true,,999,317,4,4,http://localhost:8080/product,,509,1,0,LAPTOP-V4PSCO6F,0,1
1571522617229,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,4,4,http://localhost:8080/product,,505,1,0,LAPTOP-V4PSCO6F,0,1
1571522617717,503,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,5,5,http://localhost:8080/product,,502,1,0,LAPTOP-V4PSCO6F,0,0
1571522618121,504,Product,200,,Scenario 1 - Sem  Usar Cache 1-5,text,true,,999,317,5,5,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,0
1571522618220,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,5,5,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,0
1571522618722,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-4,text,true,,999,317,6,6,http://localhost:8080/product,,505,1,0,LAPTOP-V4PSCO6F,0,1
1571522618751,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,6,6,http://localhost:8080/product,,505,1,0,LAPTOP-V4PSCO6F,0,1
1571522619120,508,Product,200,,Scenario 1 - Sem  Usar Cache 1-6,text,true,,999,317,6,6,http://localhost:8080/product,,508,1,0,LAPTOP-V4PSCO6F,0,1
1571522619231,506,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,6,6,http://localhost:8080/product,,505,1,0,LAPTOP-V4PSCO6F,0,0
1571522619645,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-5,text,true,,999,317,7,7,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,0
1571522619752,511,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,7,7,http://localhost:8080/product,,510,1,0,LAPTOP-V4PSCO6F,0,0
1571522620120,504,Product,200,,Scenario 1 - Sem  Usar Cache 1-7,text,true,,999,317,7,7,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,0
1571522620235,569,Product,200,,Scenario 1 - Sem  Usar Cache 1-4,text,true,,999,317,7,7,http://localhost:8080/product,,568,1,0,LAPTOP-V4PSCO6F,0,1
1571522620258,547,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,7,7,http://localhost:8080/product,,547,1,0,LAPTOP-V4PSCO6F,0,1
1571522620636,506,Product,200,,Scenario 1 - Sem  Usar Cache 1-6,text,true,,999,317,8,8,http://localhost:8080/product,,506,1,0,LAPTOP-V4PSCO6F,0,1
1571522620748,509,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,8,8,http://localhost:8080/product,,509,1,0,LAPTOP-V4PSCO6F,0,1
1571522621121,508,Product,200,,Scenario 1 - Sem  Usar Cache 1-8,text,true,,999,317,8,8,http://localhost:8080/product,,508,1,0,LAPTOP-V4PSCO6F,0,1
1571522621218,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-5,text,true,,999,317,8,8,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,0
1571522621329,504,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,8,8,http://localhost:8080/product,,503,1,0,LAPTOP-V4PSCO6F,0,0
1571522621660,503,Product,200,,Scenario 1 - Sem  Usar Cache 1-7,text,true,,999,317,9,9,http://localhost:8080/product,,503,1,0,LAPTOP-V4PSCO6F,0,0
1571522621821,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,9,9,http://localhost:8080/product,,505,1,0,LAPTOP-V4PSCO6F,0,1
1571522621866,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-4,text,true,,999,317,9,9,http://localhost:8080/product,,505,1,0,LAPTOP-V4PSCO6F,0,0
1571522622121,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-9,text,true,,999,317,9,9,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,0
1571522622201,515,Product,200,,Scenario 1 - Sem  Usar Cache 1-6,text,true,,999,317,9,9,http://localhost:8080/product,,515,1,0,LAPTOP-V4PSCO6F,0,1
1571522622352,506,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,9,9,http://localhost:8080/product,,505,1,0,LAPTOP-V4PSCO6F,0,0
1571522622640,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-8,text,true,,999,317,10,10,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,1
1571522622732,510,Product,200,,Scenario 1 - Sem  Usar Cache 1-5,text,true,,999,317,10,10,http://localhost:8080/product,,508,1,0,LAPTOP-V4PSCO6F,0,1
1571522622871,508,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,10,10,http://localhost:8080/product,,508,1,0,LAPTOP-V4PSCO6F,0,1
1571522623120,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-10,text,true,,999,317,10,10,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,1
1571522623240,507,Product,200,,Scenario 1 - Sem  Usar Cache 1-7,text,true,,999,317,10,10,http://localhost:8080/product,,506,1,0,LAPTOP-V4PSCO6F,0,1
1571522623382,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-4,text,true,,999,317,10,10,http://localhost:8080/product,,505,1,0,LAPTOP-V4PSCO6F,0,1
1571522623411,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,10,10,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,1
1571522623655,504,Product,200,,Scenario 1 - Sem  Usar Cache 1-9,text,true,,999,317,10,10,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,0
1571522623750,509,Product,200,,Scenario 1 - Sem  Usar Cache 1-6,text,true,,999,317,10,10,http://localhost:8080/product,,509,1,0,LAPTOP-V4PSCO6F,0,1
1571522623872,505,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,10,10,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,0
1571522624220,511,Product,200,,Scenario 1 - Sem  Usar Cache 1-8,text,true,,999,317,10,10,http://localhost:8080/product,,510,1,0,LAPTOP-V4PSCO6F,0,1
1571522624263,504,Product,200,,Scenario 1 - Sem  Usar Cache 1-5,text,true,,999,317,10,10,http://localhost:8080/product,,504,1,0,LAPTOP-V4PSCO6F,0,0
