timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1571525163614,10,Product,200,,Scenario 1 - Cache 1-1,text,true,,999,317,1,1,http://localhost:8080/product,,10,1,0,LAPTOP-V4PSCO6F,0,2
1571525164113,7,Product,200,,Scenario 1 - Cache 1-2,text,true,,999,317,2,2,http://localhost:8080/product,,7,1,0,LAPTOP-V4PSCO6F,0,1
1571525164614,7,Product,200,,Scenario 1 - Cache 1-3,text,true,,999,317,3,3,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,1
1571525164639,7,Product,200,,Scenario 1 - Cache 1-1,text,true,,999,317,3,3,http://localhost:8080/product,,7,1,0,LAPTOP-V4PSCO6F,0,1
1571525165113,3,Product,200,,Scenario 1 - Cache 1-4,text,true,,999,317,4,4,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571525165133,3,Product,200,,Scenario 1 - Cache 1-2,text,true,,999,317,4,4,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571525165613,7,Product,200,,Scenario 1 - Cache 1-5,text,true,,999,317,5,5,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,0
1571525165678,7,Product,200,,Scenario 1 - Cache 1-3,text,true,,999,317,5,5,http://localhost:8080/product,,7,1,0,LAPTOP-V4PSCO6F,0,1
1571525165679,6,Product,200,,Scenario 1 - Cache 1-1,text,true,,999,317,5,5,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,1
1571525166112,5,Product,200,,Scenario 1 - Cache 1-6,text,true,,999,317,6,6,http://localhost:8080/product,,5,1,0,LAPTOP-V4PSCO6F,0,1
1571525166152,3,Product,200,,Scenario 1 - Cache 1-4,text,true,,999,317,6,6,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571525166232,3,Product,200,,Scenario 1 - Cache 1-2,text,true,,999,317,6,6,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571525166612,7,Product,200,,Scenario 1 - Cache 1-7,text,true,,999,317,7,7,http://localhost:8080/product,,7,1,0,LAPTOP-V4PSCO6F,0,1
1571525166689,6,Product,200,,Scenario 1 - Cache 1-5,text,true,,999,317,7,7,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,0
1571525166759,6,Product,200,,Scenario 1 - Cache 1-3,text,true,,999,317,7,7,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,1
1571525166781,3,Product,200,,Scenario 1 - Cache 1-1,text,true,,999,317,7,7,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,1
1571525167111,4,Product,200,,Scenario 1 - Cache 1-8,text,true,,999,317,8,8,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571525167186,3,Product,200,,Scenario 1 - Cache 1-6,text,true,,999,317,8,8,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,1
1571525167241,4,Product,200,,Scenario 1 - Cache 1-4,text,true,,999,317,8,8,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571525167264,3,Product,200,,Scenario 1 - Cache 1-2,text,true,,999,317,8,8,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571525167612,6,Product,200,,Scenario 1 - Cache 1-9,text,true,,999,317,9,9,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,1
1571525167691,23,Product,200,,Scenario 1 - Cache 1-7,text,true,,999,317,9,9,http://localhost:8080/product,,22,1,0,LAPTOP-V4PSCO6F,0,1
1571525167701,14,Product,200,,Scenario 1 - Cache 1-5,text,true,,999,317,9,9,http://localhost:8080/product,,13,1,0,LAPTOP-V4PSCO6F,0,0
1571525167802,7,Product,200,,Scenario 1 - Cache 1-3,text,true,,999,317,9,9,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,1
1571525167861,3,Product,200,,Scenario 1 - Cache 1-1,text,true,,999,317,9,9,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,1
1571525168111,3,Product,200,,Scenario 1 - Cache 1-10,text,true,,999,317,10,10,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,1
1571525168171,3,Product,200,,Scenario 1 - Cache 1-8,text,true,,999,317,10,10,http://localhost:8080/product,,2,1,0,LAPTOP-V4PSCO6F,0,0
1571525168244,5,Product,200,,Scenario 1 - Cache 1-6,text,true,,999,317,10,10,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,0
1571525168249,3,Product,200,,Scenario 1 - Cache 1-4,text,true,,999,317,10,10,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571525168292,4,Product,200,,Scenario 1 - Cache 1-2,text,true,,999,317,10,10,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571525168613,7,Product,200,,Scenario 1 - Cache 1-11,text,true,,999,317,11,11,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,0
1571525168669,7,Product,200,,Scenario 1 - Cache 1-9,text,true,,999,317,11,11,http://localhost:8080/product,,7,1,0,LAPTOP-V4PSCO6F,0,1
1571525168732,7,Product,200,,Scenario 1 - Cache 1-7,text,true,,999,317,11,11,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,1
1571525168781,17,Product,200,,Scenario 1 - Cache 1-5,text,true,,999,317,11,11,http://localhost:8080/product,,17,1,0,LAPTOP-V4PSCO6F,0,1
1571525168813,5,Product,200,,Scenario 1 - Cache 1-3,text,true,,999,317,11,11,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,0
1571525168879,3,Product,200,,Scenario 1 - Cache 1-1,text,true,,999,317,11,11,http://localhost:8080/product,,2,1,0,LAPTOP-V4PSCO6F,0,0
1571525169111,2,Product,200,,Scenario 1 - Cache 1-12,text,true,,999,317,12,12,http://localhost:8080/product,,2,1,0,LAPTOP-V4PSCO6F,0,0
1571525169165,3,Product,200,,Scenario 1 - Cache 1-10,text,true,,999,317,12,12,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,1
1571525169273,7,Product,200,,Scenario 1 - Cache 1-8,text,true,,999,317,12,12,http://localhost:8080/product,,7,1,0,LAPTOP-V4PSCO6F,0,1
1571525169279,6,Product,200,,Scenario 1 - Cache 1-4,text,true,,999,317,12,12,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,1
1571525169286,3,Product,200,,Scenario 1 - Cache 1-6,text,true,,999,317,12,12,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,1
